id,word,prob_inc,prob_occur
154,of,0.534804753820034,1.5352534862504887
155,root,0.6666666666666666,0.00781962726443373
156,retired,1.0,0.0026065424214779098
157,make,0.5555555555555556,0.11729440896650592
158,hear,0.375,0.020852339371823278
159,green,0.8333333333333334,0.01563925452886746
160,or,0.5368421052631579,0.2476215300404014
161,chance,0.5555555555555556,0.023458881793301186
162,rampd,1.0,0.0026065424214779098
163,was,0.4782608695652174,0.2997523784699596
164,go,0.4418604651162791,0.11208132412355012
165,steering,0.6666666666666666,0.01563925452886746
166,obviously,0.7142857142857143,0.018245796950345367
167,also,0.5555555555555556,0.11729440896650592
168,kerosene,1.0,0.0026065424214779098
169,better,0.5526315789473685,0.09904861201616055
170,2018,0.6666666666666666,0.01563925452886746
171,5pm,1.0,0.0052130848429558195
172,risk,0.3333333333333333,0.023458881793301186
173,uses,0.5,0.0052130848429558195
174,httpstcowvog4pbo1o,0.0,0.0026065424214779098
175,excellent,0.0,0.01563925452886746
176,tesla,0.5619266055045872,1.1364524957643685
177,review,0.1111111111111111,0.023458881793301186
178,x,0.5405405405405406,0.09644206959468266
179,model,0.47305389221556887,0.4352925843868109
180,tristate,1.0,0.0026065424214779098
181,toysrus,1.0,0.0026065424214779098
182,minor,0.3333333333333333,0.00781962726443373
183,pic,0.6666666666666666,0.01563925452886746
184,nearby,1.0,0.0026065424214779098
185,supply,0.6666666666666666,0.00781962726443373
186,good,0.6428571428571429,0.25544115730483513
187,cover,0.7,0.026065424214779094
188,me,0.6176470588235294,0.17724488466049784
189,workforce,1.0,0.0026065424214779098
190,autosteer,1.0,0.0052130848429558195
191,border,0.5,0.0052130848429558195
192,needs,0.6363636363636364,0.028671966636257006
193,att,1.0,0.0026065424214779098
194,chrisfaile,1.0,0.0026065424214779098
195,johnpaulbrewer,1.0,0.0026065424214779098
196,large,1.0,0.00781962726443373
197,pose,0.5,0.0052130848429558195
198,might,0.5625,0.041704678743646556
199,work,0.5909090909090909,0.11468786654502802
200,gigafactory,0.4,0.026065424214779094
201,want,0.5789473684210527,0.09904861201616055
202,something,0.5714285714285714,0.0547373908510361
203,plus,0.5,0.026065424214779094
204,didnt,0.625,0.06255701811546983
205,davidshepardson,0.5,0.0052130848429558195
206,thats,0.5370370370370371,0.1407532907598071
207,meganmurp,1.0,0.0026065424214779098
208,weeks,0.7142857142857143,0.03649159390069073
209,weekend,0.7272727272727273,0.028671966636257006
210,update,0.6,0.026065424214779094
211,two,0.3888888888888889,0.04691776358660237
212,speed,0.48,0.06516356053694775
213,bw,1.0,0.0052130848429558195
214,hopefully,0.6,0.039098136322168645
215,supporting,0.5,0.020852339371823278
216,greencarreports,1.0,0.0026065424214779098
217,chain,1.0,0.0026065424214779098
218,will,0.5103448275862069,0.7558973022285937
219,donbarbieri,1.0,0.0026065424214779098
220,exactly,0.48717948717948717,0.10165515443763848
221,way,0.6521739130434783,0.11990095138798385
222,boring,0.5396825396825397,0.1642121725531083
223,machine,0.5833333333333334,0.03127850905773492
224,obvious,0.5454545454545454,0.028671966636257006
225,adrianvolts,1.0,0.0026065424214779098
226,tunnel,0.4230769230769231,0.06777010295842564
227,improvements,0.75,0.010426169685911639
228,httpstco6qt8m5shwn,0.0,0.0026065424214779098
229,1pm,0.0,0.0026065424214779098
230,pst,0.0,0.0026065424214779098
231,fly,0.3,0.026065424214779094
232,moon,0.25,0.041704678743646556
233,ok,0.5416666666666666,0.06255701811546983
234,announcement,0.0,0.00781962726443373
235,awesome,0.5,0.03127850905773492
236,duediamond,0.0,0.0026065424214779098
237,maybe,0.38636363636363635,0.11468786654502802
238,too,0.4418604651162791,0.11208132412355012
239,one,0.5857142857142857,0.18245796950345367
240,mactechgenius,0.782608695652174,0.05995047569399192
241,coasters,0.0,0.0026065424214779098
242,course,0.4444444444444444,0.04691776358660237
243,roller,0.5,0.0052130848429558195
244,those,0.5357142857142857,0.07298318780138147
245,works,0.75,0.020852339371823278
246,jamesatbuzz,1.0,0.0026065424214779098
247,cant,0.6538461538461539,0.06777010295842564
248,express,0.25,0.010426169685911639
249,do,0.4803921568627451,0.2658673269907468
250,without,0.6923076923076923,0.03388505147921282
251,lot,0.55,0.05213084842955819
252,times,0.46153846153846156,0.03388505147921282
253,and,0.5034965034965035,0.7454711325426822
254,ive,0.6086956521739131,0.05995047569399192
255,could,0.5263157894736842,0.09904861201616055
256,httpstcouqpi60zav7,1.0,0.0026065424214779098
257,appreciation,0.5,0.01563925452886746
258,enough,0.5,0.05213084842955819
259,people,0.4909090909090909,0.14335983318128503
260,great,0.5714285714285714,0.1642121725531083
261,done,0.6153846153846154,0.06777010295842564
262,ever,0.5652173913043478,0.05995047569399192
263,7,0.375,0.020852339371823278
264,true,0.35555555555555557,0.11729440896650592
265,8,0.7142857142857143,0.018245796950345367
266,tm,1.0,0.0026065424214779098
267,lovely,0.6666666666666666,0.00781962726443373
268,like,0.5483870967741935,0.24240844519744562
269,idea,0.6470588235294118,0.04431122116512446
270,httpstcoss2wmkogyk,1.0,0.0026065424214779098
271,sounds,0.46153846153846156,0.03388505147921282
272,letter,0.7142857142857143,0.018245796950345367
273,thank,0.6666666666666666,0.0547373908510361
274,well,0.6,0.039098136322168645
275,you,0.55078125,0.6672748598983449
276,jj,0.5,0.0052130848429558195
277,httpstco3ysxzq1evj,1.0,0.0026065424214779098
278,project,0.42857142857142855,0.018245796950345367
279,simonakitzu,1.0,0.0026065424214779098
280,thanks,0.5454545454545454,0.14335983318128503
281,zedd,0.3333333333333333,0.00781962726443373
282,teslamotors,0.43333333333333335,0.07819627264433729
283,loveday,0.75,0.010426169685911639
284,httpstcok1snxjn15u,1.0,0.0026065424214779098
285,send,0.6,0.026065424214779094
286,selfhatred,1.0,0.0026065424214779098
287,country,0.5,0.01563925452886746
288,vary,0.5,0.0052130848429558195
289,beyond,0.5555555555555556,0.023458881793301186
290,shipping,0.5,0.0052130848429558195
291,terms,0.5,0.010426169685911639
292,mcannonbrookes,0.75,0.020852339371823278
293,serious,0.3333333333333333,0.00781962726443373
294,taxestariffs,0.0,0.0026065424214779098
295,moving,0.5,0.01563925452886746
296,shails,0.0,0.0026065424214779098
297,level,0.6111111111111112,0.04691776358660237
298,contract,0.0,0.0026065424214779098
299,pack,0.7142857142857143,0.018245796950345367
300,labor,0.5,0.010426169685911639
301,as,0.5517241379310345,0.3023589208914375
302,100mwh,0.0,0.0026065424214779098
